author,category,language,editor,edition,totalPages,damagedPages,age,price
Michelle Baker,Technology,Spanish,Penguin,10th,800,40,5,12.24
Jaime Hoffman,Non-Fiction,Italian,Penguin,2th,975,83,5,25.03
Sarah Johnson,Fiction,Italian,Springer,1th,181,1,5,36.1
Tiffany Yang,Biography,French,Pearson,2th,573,13,3,73.45
Emily Andrade,Science,German,Simon & Schuster,3th,881,88,5,4.39
Brendan Gonzalez,Non-Fiction,German,Cambridge,10th,894,34,7,40.97
Stephanie Goodman,History,French,HarperCollins,8th,550,11,7,25.54
Robert Neal,Biography,English,Macmillan,8th,460,23,8,37.7
Brooke Cunningham,Fantasy,Spanish,Pearson,9th,74,4,4,8.1
Ronald Hart,Fantasy,German,HarperCollins,3th,437,29,2,70.04
Jessica Reed,Fiction,French,Penguin,6th,406,39,0,49.99
Patrick Hutchinson,Fantasy,English,Cambridge,6th,898,18,9,28.87
Sara Osborne,Non-Fiction,German,Springer,4th,158,11,4,27.83
James Cruz,Science,French,Springer,1th,57,5,6,12.24
Shawn Rangel,Biography,English,Macmillan,10th,84,4,2,93.98
Judith Jefferson,Technology,Spanish,Pearson,5th,262,11,10,5.74
Sally James MD,History,German,Springer,5th,822,24,6,27.91
Jose Hughes,Fiction,Spanish,Cambridge,9th,906,36,5,89.94
Darryl Moss,Fiction,Italian,Macmillan,3th,988,54,0,36.51
Roger Erickson,Fantasy,Spanish,Simon & Schuster,9th,907,33,9,62.43
Andre Brooks,History,German,Cambridge,10th,481,6,10,40.34
David Evans,Biography,English,Simon & Schuster,1th,932,77,8,6.37
Mr. Peter Walsh Jr.,Fiction,Italian,Pearson,1th,380,6,6,67.65
Rhonda Glenn,Philosophy,Italian,Pearson,1th,407,37,7,43.09
Mark Watson,Biography,German,Springer,3th,201,0,6,32.43
Cory Allen,Fiction,English,Pearson,8th,111,11,8,42.56
Jessica Williams,Philosophy,Spanish,Springer,9th,671,60,3,48.82
Holly Perry,Fantasy,French,Macmillan,3th,56,3,6,39.2
April Smith,Non-Fiction,Spanish,Pearson,5th,342,23,5,63.24
Joseph Jackson,Biography,French,Oxford,3th,437,7,7,30.0
Tracy Taylor,Biography,German,Oxford,10th,743,35,8,40.61
Mary Smith,Fantasy,English,Pearson,4th,462,17,7,74.78
Tyler Jennings,History,French,Springer,5th,401,31,4,13.83
Christopher Brown,Fiction,German,Springer,2th,945,34,5,1.39
Alejandro Young,Biography,English,Cambridge,1th,182,17,1,76.79
Danielle Rivera,Biography,French,Macmillan,2th,147,11,7,11.88
Patty Smith,Non-Fiction,Spanish,Simon & Schuster,3th,223,13,9,52.63
Allison Lowery,Science,Italian,Penguin,1th,89,8,3,73.13
Mrs. Jennifer Johnson,Fantasy,French,Macmillan,7th,848,65,9,64.14
Justin Wilkins,Philosophy,French,Oxford,10th,945,93,0,70.93
Courtney Smith,Non-Fiction,Italian,Pearson,7th,513,43,4,15.93
Lance Lowery,Fantasy,Italian,Macmillan,1th,790,66,10,33.12
Thomas Anderson,Philosophy,French,Penguin,3th,975,37,6,70.1
Stacey Fritz,Fantasy,Spanish,Penguin,1th,619,7,3,37.05
Rick Alexander,Fiction,English,Oxford,10th,414,33,8,6.93
Kyle West,Biography,English,HarperCollins,3th,857,23,1,17.32
Lisa Gardner,Non-Fiction,English,Oxford,6th,570,41,1,57.94
Richard Murray,Fantasy,French,Simon & Schuster,9th,831,60,5,66.28
Victoria Evans,Science,Spanish,Springer,7th,557,47,10,58.65
Mr. Brian Edwards,Philosophy,French,Penguin,9th,166,15,0,78.16
Eric Williams,Biography,English,Springer,6th,667,64,0,23.89
Judith Castillo,Biography,German,HarperCollins,10th,278,11,9,59.67
Ebony Jackson DVM,Technology,French,Cambridge,1th,652,5,0,24.13
Brenda Logan,History,German,HarperCollins,5th,717,44,10,80.65
Emily Morris,Science,French,Simon & Schuster,6th,176,15,3,143.67
Cindy Shields,Fiction,German,Macmillan,7th,972,8,0,13.87
Susan Moore,Non-Fiction,Italian,Oxford,9th,806,3,3,85.73
Michele Odom,Fiction,English,Penguin,5th,477,18,2,19.37
Laura Lopez,Philosophy,English,Oxford,3th,554,38,1,9.52
Brandy Williams,Science,Spanish,Oxford,1th,985,31,5,44.56
Michael Rodriguez,Biography,English,Cambridge,4th,296,3,0,72.72
Mark Mcgee,Technology,Italian,Oxford,3th,734,69,4,45.95
Mr. Marcus Evans,Biography,English,Pearson,6th,830,42,9,15.99
Jesse Molina,Fantasy,English,Pearson,7th,350,19,7,48.69
Kerry Willis,History,German,Cambridge,8th,969,23,3,8.72
Jason King,Science,French,HarperCollins,5th,836,31,1,23.02
Ronald Robertson,Fantasy,German,Springer,7th,479,17,3,24.09
Michael Hayes,Non-Fiction,English,Pearson,4th,223,16,9,22.84
Zachary Potter,Non-Fiction,German,Penguin,4th,729,20,4,90.29
Lindsey Benitez,History,Spanish,Pearson,3th,708,63,1,29.42
Veronica Rodriguez,History,French,Pearson,1th,256,20,2,41.63
Ashley Johnson,Fiction,German,Oxford,10th,115,1,8,74.03
Shawn Washington,Fiction,English,Springer,6th,507,26,3,7.93
Jacob Brown,History,English,Macmillan,1th,408,34,0,11.92
Ms. Elizabeth Parker,Biography,German,Penguin,6th,783,49,4,23.59
Ashley Griffith,Science,Italian,Simon & Schuster,1th,111,7,9,159.13
Samantha Jones DVM,Philosophy,Spanish,Macmillan,10th,730,57,10,53.77
Shawn Price,Biography,German,Cambridge,6th,685,51,7,60.04
Pamela Williamson,Science,English,Penguin,8th,924,36,9,110.6
Ryan Snyder MD,History,German,Macmillan,10th,882,38,7,88.49
Thomas Bennett,History,Italian,Simon & Schuster,8th,499,32,8,86.76
Stephanie Santos,Technology,German,Springer,8th,60,1,5,60.7
Lindsay Reed,Philosophy,Italian,Cambridge,4th,557,18,9,17.97
Stephanie Valdez,Fiction,Italian,Cambridge,9th,486,32,1,52.55
Trevor Gonzales,Fantasy,French,Simon & Schuster,5th,372,24,4,69.51
Michael Freeman,History,Italian,Simon & Schuster,7th,187,14,5,65.95
Kevin Harris,Fiction,Spanish,Macmillan,3th,893,86,2,69.2
Kenneth Bell,History,French,Macmillan,7th,748,65,1,0.5
Kristin Singleton,Technology,German,Cambridge,4th,534,18,8,57.32
Sydney Brown,Science,Italian,HarperCollins,6th,330,20,10,43.62
Thomas Morris,History,German,Oxford,9th,660,13,3,84.61
Jennifer Hernandez,Fantasy,English,Simon & Schuster,10th,723,1,9,3.77
Patrick Wilson,Technology,Spanish,Springer,10th,327,1,9,61.35
Jacqueline Frye,Philosophy,Italian,Cambridge,8th,838,80,3,73.1
Patricia Bowen,Biography,German,Penguin,4th,571,16,0,10.44
Sarah Banks,Non-Fiction,German,Macmillan,3th,506,40,10,38.94
Stephen Wheeler,Science,Italian,Pearson,9th,891,68,4,34.69
Robert Blackwell,Philosophy,English,Springer,7th,904,47,6,53.6
Eric Gordon,History,Spanish,Simon & Schuster,2th,804,11,8,40.32
Jessica Martin,Philosophy,Italian,Pearson,6th,897,39,8,20.97
Sally Diaz,Science,French,Simon & Schuster,10th,822,59,2,2.18
Brooke Hoffman,History,Italian,Simon & Schuster,7th,645,62,10,14.51
Felicia Zhang,Non-Fiction,Spanish,HarperCollins,2th,426,22,1,9.0
Tasha Huerta,Technology,Spanish,Penguin,7th,808,1,9,18.84
Cassandra Smith,History,English,Springer,5th,555,1,0,37.39
Tracy Webster,Technology,English,Springer,6th,761,19,3,43.63
Luis Harrison,History,Italian,Macmillan,5th,415,17,7,36.92
Anthony Anderson,History,German,Springer,4th,82,7,1,88.73
Jessica Cline,Biography,Italian,Oxford,1th,172,13,1,11.73
Todd Roberts,Technology,German,Pearson,4th,280,22,3,5.17
Amber Garcia,Biography,Spanish,Cambridge,5th,733,24,7,69.93
Patricia Armstrong,Technology,Italian,Cambridge,9th,536,12,3,118.61
Andrew Baker,Fantasy,Spanish,Macmillan,2th,237,19,9,48.77
Melissa Washington,Non-Fiction,English,Pearson,9th,569,27,4,21.49
Gabriela Pineda,Philosophy,French,Macmillan,4th,506,42,2,57.44
John Merritt,Science,German,Penguin,8th,181,15,4,84.69
Cody Roberts,Non-Fiction,English,Simon & Schuster,1th,92,1,4,92.74
Cody Powell,Fantasy,Spanish,HarperCollins,1th,663,29,6,5.22
Stephen Boyd,Philosophy,German,HarperCollins,7th,186,3,6,31.81
Melissa Aguirre,Biography,Spanish,Macmillan,9th,91,6,3,45.02
Gavin Robinson,Science,French,Macmillan,7th,759,57,1,79.96
Joshua Mosley,Biography,Spanish,Springer,1th,430,14,0,193.14
Jennifer Brown,Fiction,German,Penguin,2th,845,52,10,57.76
Dr. Jennifer Sexton,History,English,Springer,1th,465,7,2,91.23
Stephen Hernandez,Fantasy,French,Macmillan,5th,866,66,5,74.47
Benjamin Contreras,Biography,French,Pearson,10th,944,51,2,78.17
Barry Hogan,Fantasy,German,Springer,3th,880,12,6,45.43
Gina Wilson,Science,German,HarperCollins,9th,978,58,5,35.23
Crystal Johnson,Fantasy,Italian,Oxford,6th,680,30,6,0.5
Kristin Miller,History,Italian,Cambridge,6th,707,26,0,84.93
Abigail Mills,Technology,Italian,HarperCollins,6th,477,20,7,15.87
Jimmy Levy,Technology,French,Cambridge,9th,397,31,5,42.87
Roger Doyle,Science,English,Macmillan,1th,628,40,5,78.5
Kylie Murray,Non-Fiction,French,Macmillan,9th,150,3,7,20.05
Theresa Watson,Philosophy,Spanish,Springer,1th,898,63,6,9.02
Nicholas Conley,Non-Fiction,Spanish,Macmillan,3th,909,86,9,67.89
Jason Pearson,Fiction,Italian,Macmillan,10th,707,45,5,14.62
Melissa Garcia,Technology,Italian,Oxford,8th,371,18,4,74.48
Daniel Phillips,History,Italian,Cambridge,6th,718,11,7,91.16
Lisa Odom,Technology,Italian,Simon & Schuster,10th,740,30,0,9.81
Lori Torres,Fantasy,Spanish,Springer,8th,536,18,3,0.5
Heather Smith,Philosophy,French,Penguin,5th,710,15,8,58.6
Kevin Robinson,Fantasy,German,Springer,2th,922,9,0,47.09
Justin Colon,Biography,Spanish,Penguin,4th,77,5,0,96.41
Sydney Burton,Biography,Spanish,HarperCollins,5th,938,61,10,50.13
Daniel Luna,Fiction,English,HarperCollins,10th,474,15,3,61.2
Joseph Shaw,Technology,French,Penguin,7th,991,12,10,74.72
Stephen Edwards,Biography,French,Simon & Schuster,4th,577,9,6,18.25
Jesse Harris,History,German,Pearson,10th,734,15,9,70.67
Megan Simon,History,Italian,HarperCollins,8th,836,69,9,0.5
Paula Jordan,History,English,Cambridge,9th,293,21,0,69.07
Tonya Perez,Technology,French,Penguin,6th,655,64,5,77.88
Lauren Castillo,Biography,German,Springer,3th,417,31,6,76.35
Luis Page,Fiction,Spanish,Macmillan,4th,75,5,3,61.92
Crystal Taylor,Fiction,Italian,Springer,3th,172,13,2,36.8
Jeffrey Stone,Non-Fiction,Spanish,Oxford,10th,988,17,9,0.5
Mark Ortega,Fiction,Spanish,Macmillan,3th,461,35,3,57.96
Jessica Watson,Fiction,Spanish,HarperCollins,4th,94,9,3,7.47
Taylor Lyons,Non-Fiction,Italian,Simon & Schuster,7th,83,6,4,32.54
Joshua Jackson,Biography,Spanish,Simon & Schuster,1th,311,0,3,51.96
Eric Myers,Non-Fiction,German,Pearson,5th,783,39,4,12.81
William Moreno,Fantasy,German,HarperCollins,7th,278,8,8,83.9
Brian Romero,Science,German,Pearson,1th,408,17,1,76.72
Luis Bush,Biography,German,Pearson,4th,135,6,10,50.51
Andrea Larson,Fiction,Spanish,Pearson,3th,899,2,3,150.91
Kyle Lee,Biography,English,Cambridge,5th,184,1,10,90.04
Taylor Harris,Science,German,Oxford,4th,294,17,3,45.41
Deborah Bailey,Fiction,Italian,Springer,7th,98,5,3,138.42
Sharon Woodward,Biography,Italian,Pearson,10th,536,45,8,0.5
Brenda Davis,Science,French,HarperCollins,7th,313,4,6,96.79
Justin Miller,Science,Italian,Penguin,7th,236,17,1,40.23
Mary Frazier,Technology,German,Oxford,2th,547,37,10,40.64
Craig Rubio,Biography,French,Macmillan,2th,659,2,8,87.35
Loretta Wilson,Fantasy,German,Springer,7th,829,17,6,33.95
Thomas Murphy,Philosophy,Italian,Macmillan,7th,276,8,6,0.5
Lisa Cook,Science,Spanish,Penguin,4th,508,43,10,43.67
Preston Gomez,Philosophy,German,HarperCollins,7th,221,0,0,53.56
Jason Wood,Fiction,Spanish,Cambridge,6th,69,6,7,58.65
Matthew Phillips,Non-Fiction,Spanish,Macmillan,7th,733,18,3,77.77
Taylor Waller,Fiction,Italian,Penguin,8th,205,8,4,36.25
Andrea Henry,Fiction,English,Cambridge,9th,895,43,8,11.41
Linda Cruz,Biography,Spanish,Springer,9th,213,3,9,144.49
Vicki Hurst,Technology,Italian,Simon & Schuster,2th,466,8,5,55.88
Travis Miller,Non-Fiction,English,Oxford,10th,771,54,8,45.27
Lawrence Griffin,Science,Italian,Pearson,4th,264,8,3,16.17
Benjamin Ali,Science,Spanish,Springer,6th,668,41,1,62.08
Logan Stevens,Biography,English,Simon & Schuster,1th,479,15,9,29.65
Diane Smith,Technology,Spanish,Penguin,1th,172,6,6,173.23
Austin Parker,Fantasy,Spanish,HarperCollins,10th,586,24,5,76.9
Cynthia Davis,Philosophy,German,HarperCollins,8th,990,81,7,5.61
Elizabeth Patton,Technology,Italian,HarperCollins,9th,366,24,1,51.74
Keith Lutz,Non-Fiction,Spanish,Springer,3th,583,20,9,156.78
Adrian Perez,Fiction,Spanish,Springer,2th,700,69,9,26.8
Donna Smith,Non-Fiction,English,Pearson,10th,161,9,0,82.83
Robin Hines,History,Spanish,HarperCollins,7th,341,22,7,32.29
William Liu,Philosophy,French,Penguin,3th,199,11,5,64.65
Rose Martinez,Fiction,Italian,Pearson,4th,160,3,6,93.59
Kristy Smith,History,English,Penguin,2th,325,1,10,52.6
Paul Byrd,Fantasy,German,Oxford,5th,366,1,6,42.41
Deborah Rodgers,Technology,French,Simon & Schuster,7th,250,3,3,56.27
Kyle Prince,Fiction,Italian,Oxford,7th,979,11,5,24.62
John Warner,Biography,Spanish,Macmillan,2th,760,61,3,82.34
Dr. Larry Howe,Biography,Spanish,Springer,6th,401,25,6,34.76
Erin Holland,History,English,Oxford,6th,648,36,9,81.26
Jonathon Phillips,Fiction,Italian,HarperCollins,3th,987,40,4,42.72
Tyler Pratt,Non-Fiction,German,Penguin,1th,79,5,7,77.13
Brandon Mccall,Fantasy,English,Springer,10th,261,2,8,97.16
Matthew Meyers,Philosophy,German,Springer,5th,464,28,7,21.77
Jay Rodriguez,Technology,French,Simon & Schuster,3th,388,30,8,2.24
Erik Woodard MD,Science,Italian,Pearson,6th,309,9,4,89.77
Hunter Wright,Fiction,French,Macmillan,1th,633,20,7,12.26
Erica Mitchell,Biography,Spanish,Macmillan,4th,464,42,3,16.25
Benjamin Baker,Fiction,Spanish,Cambridge,9th,591,2,9,15.64
Rhonda Estes,History,German,Oxford,5th,655,54,5,20.0
Kevin Brown,Biography,English,HarperCollins,7th,398,19,1,89.73
Danielle Lopez,Science,German,HarperCollins,3th,300,17,0,13.57
Michelle Gonzales,Fiction,Spanish,Simon & Schuster,8th,920,77,2,58.52
Benjamin White,Philosophy,English,Simon & Schuster,3th,446,35,10,66.34
Rose Greene,Non-Fiction,German,Simon & Schuster,10th,618,11,9,21.77
Chase Rodriguez,Fiction,English,HarperCollins,3th,922,84,0,45.81
Anne Cooper,History,French,Springer,6th,206,0,7,13.62
Jessica Johnson,Philosophy,English,Oxford,8th,960,90,9,0.5
Brandon Hansen,Technology,English,HarperCollins,4th,79,3,8,51.75
Shawn Morales,History,French,Cambridge,5th,832,46,7,52.07
Stacie Jackson,Fantasy,German,Oxford,8th,51,4,5,19.75
Mary Compton,Technology,English,Oxford,5th,984,59,0,76.63
Joyce Hebert,Philosophy,French,Penguin,9th,843,17,5,61.95
James Davis,History,Italian,Cambridge,2th,264,10,5,64.46
Ryan Burke,Science,German,Penguin,4th,732,66,3,3.25
Stanley Short,Technology,Italian,Simon & Schuster,5th,556,6,8,70.23
Tony Wood,Fantasy,French,HarperCollins,10th,216,9,0,89.89
Amanda Gonzalez,History,French,Simon & Schuster,8th,306,17,8,28.42
Kayla Spencer,Fiction,English,Macmillan,6th,118,9,1,69.5
John Gomez,Fiction,German,Penguin,8th,181,7,4,63.96
Mariah Cox,Technology,Italian,Springer,9th,401,37,4,186.63
Jared Jenkins,Non-Fiction,German,Penguin,7th,312,16,3,45.39
Martha Olsen,Fantasy,Italian,Cambridge,7th,810,45,9,73.99
Tina Rich,Fantasy,English,Cambridge,10th,634,61,4,0.5
Lisa Rogers,Philosophy,German,Springer,6th,454,2,5,87.47
Russell Woods,Technology,French,Oxford,8th,689,23,7,59.12
Thomas Shaffer,Biography,Spanish,Oxford,1th,788,57,1,72.67
Caitlin Garcia,Non-Fiction,English,Penguin,6th,908,25,2,6.1
Hayley Strickland,Fantasy,German,Springer,3th,393,12,1,54.98
David Hodge,Technology,English,Pearson,6th,956,41,4,18.52
Ronald Boone,Non-Fiction,Spanish,Oxford,3th,65,5,5,117.01
Cheryl Rivera,History,English,Oxford,7th,961,72,4,51.01
Catherine Barnett,Biography,Spanish,Penguin,2th,264,4,6,87.54
Maureen Mccullough,Non-Fiction,Spanish,Springer,10th,334,23,5,83.24
Jennifer Hall,Fantasy,French,Pearson,9th,358,17,8,25.97
Charles Silva,History,German,Oxford,2th,265,25,5,0.5
Eric Long,Philosophy,Italian,Simon & Schuster,6th,416,15,10,89.28
Connie King,Philosophy,German,Cambridge,3th,291,2,4,9.59
Mariah Guzman,Fiction,French,Pearson,2th,764,25,3,31.41
Derrick Jones,Technology,German,Oxford,9th,835,69,9,42.15
Courtney Martin,Science,French,Penguin,4th,62,3,9,12.67
Matthew Rose,Fantasy,Spanish,Pearson,5th,551,7,3,147.0
Nancy Nelson,Biography,German,Penguin,7th,449,18,3,64.67
Jacob Guzman,Fantasy,Spanish,Springer,10th,903,78,5,28.19
Christopher Bell,Biography,English,Penguin,4th,543,13,10,17.32
William Huber,Biography,Italian,Springer,3th,807,49,7,0.5
Alvin Lee,Fantasy,Italian,Oxford,6th,682,25,5,13.34
James Hunt,Fiction,German,Cambridge,1th,468,27,0,38.34
Lauren Brooks,Philosophy,Spanish,Oxford,3th,53,4,9,68.45
Angela Hawkins,Fantasy,German,Simon & Schuster,7th,198,3,9,33.44
Theresa Ramirez,Fantasy,French,Springer,2th,910,16,2,45.99
Michael Smith,Philosophy,Italian,Penguin,8th,570,11,2,25.58
William Smith,Fiction,Italian,Springer,10th,51,1,5,15.62
Julia Jones,Fiction,Italian,Macmillan,2th,803,26,8,32.17
Barbara Hart,Non-Fiction,French,Pearson,1th,125,5,7,189.28
David Fry,Fiction,French,Pearson,9th,911,76,3,69.72
Carrie Bryan,Biography,Italian,Penguin,7th,745,69,2,55.4
Joseph Mckenzie,Non-Fiction,Spanish,Springer,4th,224,20,7,33.92
Bradley Fleming,Philosophy,Italian,Pearson,1th,377,10,4,59.26
Lisa Baker,History,Italian,Cambridge,9th,736,0,6,26.29
Casey Lamb,Fantasy,English,Oxford,8th,136,3,6,90.43
Alexis Stanton,Non-Fiction,Spanish,Cambridge,5th,257,20,6,77.47
Lee Conley,Fantasy,German,Pearson,7th,705,69,1,0.5
Jason West,Science,English,Pearson,10th,350,15,1,73.83
Diana Lynch,History,French,Oxford,7th,504,13,0,85.16
Laura Mcgrath,Philosophy,Spanish,Penguin,7th,937,77,9,74.03
Edward Walls,Fiction,German,Penguin,4th,700,41,3,87.76
Edward Diaz,Science,German,Penguin,10th,510,30,0,6.86
Daniel Whitney,Non-Fiction,Italian,Cambridge,6th,785,38,1,67.24
William Campbell,Biography,French,Macmillan,9th,810,68,4,161.92
Kelsey Bryan,Biography,French,Macmillan,5th,391,25,6,16.98
Vanessa Barry,Fantasy,German,Oxford,1th,743,40,10,1.64
Brittany Williams,Fantasy,English,Oxford,6th,953,69,8,48.08
Steven Bennett,Biography,German,Penguin,8th,427,41,7,30.13
Jose White,Biography,Italian,Simon & Schuster,7th,346,7,1,87.66
Alicia Morris,Non-Fiction,German,Macmillan,5th,920,89,9,12.1
Katie Barajas,Non-Fiction,French,Springer,3th,828,80,6,76.77
Alexis Luna,Technology,French,Oxford,3th,99,6,4,29.73
Chad Thomas,Technology,German,Oxford,6th,400,25,5,88.16
Allison Parker,Philosophy,German,Springer,6th,662,17,5,15.57
Nicole Campos,Science,German,Oxford,8th,522,16,2,17.13
Kenneth Williams,Fiction,English,Cambridge,9th,337,11,6,15.72
Joseph Mckinney,Biography,Italian,Springer,2th,455,42,10,12.17
Brent Green,Fiction,German,HarperCollins,9th,380,37,9,20.43
Amy Ellis,Technology,Italian,Penguin,3th,360,19,10,71.2
Edward Wright,Fantasy,Spanish,Penguin,7th,902,66,0,0.5
Jennifer Miller,Science,English,HarperCollins,7th,232,8,0,61.14
Amy Ramirez,Non-Fiction,Spanish,Cambridge,4th,221,18,3,35.34
Laura Logan,Philosophy,French,Penguin,9th,734,19,2,23.76
Elizabeth Turner,Science,Italian,Penguin,10th,793,69,10,48.9
Laurie Jackson,Non-Fiction,Spanish,HarperCollins,10th,245,3,8,41.64
Kristi Small,Fantasy,French,Cambridge,9th,255,20,1,6.09
Jessica Caldwell,Philosophy,German,Cambridge,1th,796,18,0,27.26
Rodney Williams,Philosophy,German,Pearson,10th,526,32,10,20.77
Peter Garcia,Biography,English,Penguin,3th,660,1,5,12.79
Patricia Parker,Fantasy,English,Cambridge,4th,705,29,7,116.69
Andrea Ballard,Fantasy,English,Oxford,10th,265,5,0,80.56
Sonia Wilson,Fiction,English,Cambridge,8th,332,29,1,84.41
Christopher Gray,Biography,Spanish,Simon & Schuster,1th,675,55,1,54.7
Ricky Wallace,History,English,HarperCollins,5th,608,12,6,70.42
Chase Nelson,Biography,Spanish,HarperCollins,7th,177,12,9,23.76
Rachael Jackson,Philosophy,English,HarperCollins,5th,468,4,4,94.94
Dana Jackson,History,English,Simon & Schuster,9th,381,33,6,0.5
Ian Guerrero,Technology,French,Pearson,3th,939,23,0,78.6
Samantha Mora,Fantasy,French,Pearson,8th,762,62,0,56.06
Marc Robbins,History,Spanish,Springer,9th,148,8,7,33.25
Jason Morris,Technology,French,Oxford,6th,833,10,3,41.92
Joshua French,Non-Fiction,English,Pearson,6th,522,16,8,68.02
Jeanne Williams,Biography,English,Oxford,5th,774,2,3,68.59
Stephen Jacobs,Science,English,HarperCollins,6th,497,49,8,8.99
William Davis,Technology,Spanish,Macmillan,4th,347,14,0,81.44
Haley Woodard,Biography,English,Penguin,6th,889,1,2,116.61
Amanda Coleman,Science,Italian,Simon & Schuster,8th,72,1,0,16.53
John Jacobs,Fantasy,English,Pearson,8th,578,16,7,63.15
Brianna Hall,Technology,Spanish,Simon & Schuster,1th,634,6,4,22.58
Andrew Bauer,Fiction,English,Oxford,5th,926,30,7,14.02
Daniel Villegas,Fiction,German,Simon & Schuster,10th,527,4,6,73.4
Rebecca Gibson,Fiction,German,Penguin,1th,290,28,3,65.0
Suzanne Boone,Fantasy,English,Penguin,1th,892,30,6,26.96
Jessica Bauer,Science,Spanish,HarperCollins,2th,710,38,5,32.1
Kelsey Wilson,Fiction,Italian,Springer,1th,253,24,10,88.68
David Bailey DDS,Biography,English,Penguin,7th,751,12,2,51.41
Charles Flores,History,Spanish,Pearson,7th,206,9,8,66.24
Daniel Mitchell,Fiction,French,Oxford,4th,507,36,3,59.84
Dustin Taylor,Fiction,German,Cambridge,4th,88,5,4,80.76
Brandon Ruiz,Fantasy,German,Pearson,5th,905,47,6,60.35
Samantha Alexander,Fiction,English,HarperCollins,5th,343,8,4,75.46
Felicia Jones,Technology,English,Oxford,9th,523,46,1,11.1
Ashley Mccall,Fiction,German,Macmillan,1th,682,27,0,85.68
Amber Meyer,Philosophy,Spanish,Cambridge,9th,542,14,9,77.08
Xavier Miller,Philosophy,Spanish,Penguin,1th,548,15,6,71.79
Jennifer Payne,Non-Fiction,Italian,Cambridge,5th,873,61,0,85.82
Jennifer Diaz,Biography,English,HarperCollins,6th,187,3,3,94.02
Jose Mcdonald,Philosophy,English,HarperCollins,1th,790,28,4,38.06
Shelley Kelley,Fantasy,German,Penguin,2th,69,2,2,85.38
Adam Jimenez,History,French,Pearson,10th,297,19,9,36.47
David Watkins,Non-Fiction,French,Simon & Schuster,9th,446,28,4,36.91
Shawn Smith,Technology,English,HarperCollins,7th,522,16,8,42.48
Alice Pratt,Non-Fiction,English,Macmillan,6th,801,36,10,5.63
Jessica Brown,Fantasy,German,Springer,9th,821,10,0,63.03
Jamie Mills,Technology,German,Oxford,2th,956,50,5,42.2
Kelly Daniels,Fantasy,French,Cambridge,6th,97,2,0,7.55
Travis Mckinney,Philosophy,English,Pearson,3th,291,7,5,77.67
Matthew Bates,History,English,Pearson,3th,73,2,6,147.15
Erik Miller,Technology,Italian,Penguin,6th,204,4,2,52.62
Daniel Jensen,History,Italian,Simon & Schuster,2th,975,54,6,18.22
Kenneth Frey,History,Spanish,Oxford,9th,856,80,8,78.81
Christopher Stewart,Fantasy,English,Penguin,4th,482,9,0,15.73
Rachel Chen,Fiction,French,Pearson,6th,605,29,9,164.4
Robin Sampson,History,German,Springer,8th,748,14,5,7.94
Andrea Riddle,Fiction,German,Springer,3th,316,1,8,58.42
Ashley Williams,Science,English,Pearson,7th,953,1,3,81.87
Yvonne Reid,Technology,Italian,Pearson,4th,781,65,9,0.5
Christopher Lewis,Non-Fiction,Italian,Penguin,6th,623,14,10,40.16
Jennifer Arias,Non-Fiction,Spanish,Cambridge,10th,637,41,5,8.77
Mary Hancock,Biography,English,Penguin,4th,614,29,5,66.88
Matthew Davis,History,Italian,Macmillan,9th,513,34,7,82.63
Scott Salinas,Non-Fiction,French,Oxford,5th,665,45,5,82.47
Leslie Gonzalez,Technology,Italian,Pearson,8th,169,3,7,41.07
David Hill,Science,German,Macmillan,8th,891,47,6,83.27
Phillip Sharp,Philosophy,French,Macmillan,4th,198,13,9,37.21
Becky Cervantes,Biography,French,Cambridge,7th,236,19,5,82.3
Shannon Ho,Fiction,Italian,Penguin,8th,307,24,7,25.44
Steven Walters,Non-Fiction,French,Simon & Schuster,7th,367,27,4,37.81
Madison West,History,German,HarperCollins,8th,949,26,4,38.39
Kimberly Shelton,Science,Spanish,Pearson,3th,609,42,3,71.76
Kelly Brown,Non-Fiction,Italian,Macmillan,1th,638,55,1,76.75
Patrick Fletcher,Fiction,German,Cambridge,4th,292,23,4,0.5
John Sanchez,Philosophy,Spanish,HarperCollins,8th,786,45,6,2.61
Jacob Lambert,Biography,Italian,Pearson,9th,655,63,0,44.01
Thomas Brewer,Fantasy,English,Oxford,7th,333,22,8,38.46
Andrew Smith,History,German,Simon & Schuster,8th,686,21,4,94.51
Destiny Mata,History,English,HarperCollins,7th,731,27,9,4.25
Tanya Henry,Non-Fiction,French,Oxford,4th,857,32,5,89.86
Bethany Madden,Biography,French,Macmillan,9th,892,62,1,46.33
Gina Richardson,Technology,Spanish,Simon & Schuster,6th,506,40,5,10.35
Kimberly Watson,Fiction,Spanish,HarperCollins,8th,641,12,10,58.93
Robert Wilson,Fiction,German,Pearson,1th,699,24,8,35.3
Heather Hurst,Fiction,German,Pearson,3th,212,16,6,45.36
John Espinoza,History,Spanish,Simon & Schuster,2th,766,69,10,70.74
Lisa Hernandez,Technology,English,Simon & Schuster,6th,142,6,8,20.09
Lisa Nicholson,Biography,German,Oxford,8th,577,10,3,90.84
Leslie Ramos,Fiction,Italian,Oxford,10th,346,20,6,19.51
Brian Lang,Fiction,Italian,Simon & Schuster,3th,303,6,0,93.18
Rachel Navarro,Fiction,French,HarperCollins,7th,243,8,3,82.36
Nathan Clements,Science,Spanish,Oxford,4th,574,5,7,19.54
